,R,n_sites,from_sec,to_sec,type,transport_per_sec_per_particle,transport_per_sec_per_particle_sem,total_sim_time_sec
10942,42,16,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.3240001025763076
15734,49,16,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.20400006458508255
6272,57,16,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.12870004074558886
4856,66,16,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.08316002632791895
1294,75,16,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.0546000172860074
13070,49,24,5e-06,1.5000000000000002e-05,inert,0.0,0.0,0.20400006458508255
1753,15,0,5e-06,1.5000000000000002e-05,kap,119.84075119131987,4.157229598848844,6.934202195322938
13579,17,0,5e-06,1.5000000000000002e-05,kap,44.29288741291658,3.0420479969770016,4.7863215153180025
4673,20,0,5e-06,1.5000000000000002e-05,kap,13.961601164489462,2.2075229731322934,2.865000907040498
12177,24,0,5e-06,1.5000000000000002e-05,kap,1.7455657090604633,1.0078028320142385,1.718640544110325
7875,17,1,5e-06,1.5000000000000002e-05,kap,122.23583353679709,5.002779629449017,4.8840015462428585
6209,20,1,5e-06,1.5000000000000002e-05,kap,53.3333164483498,4.216368878682682,3.000000949780626
12975,24,1,5e-06,1.5000000000000002e-05,kap,7.526107429014461,2.0873666338432377,1.7273205468583568
11809,29,1,5e-06,1.5000000000000002e-05,kap,1.0162598408603236,1.0162598408603234,0.9840003115280452
12701,35,1,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.5600001772923835
14407,42,1,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.3240001025763076
13719,17,2,5e-06,1.5000000000000002e-05,kap,227.2726553196724,6.821591308369887,4.8840015462428585
2163,20,2,5e-06,1.5000000000000002e-05,kap,53.99998290395414,4.242639343927068,3.000000949780626
15661,24,2,5e-06,1.5000000000000002e-05,kap,11.168058158988881,2.5621282584535487,1.7012805386142609
1345,29,2,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.9840003115280452
11057,35,2,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.5600001772923835
841,42,2,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.32238010206342604
6695,17,4,5e-06,1.5000000000000002e-05,kap,774.9792796260898,12.596710520785091,4.8840015462428585
14763,20,4,5e-06,1.5000000000000002e-05,kap,351.33322210350417,10.82178529439128,3.000000949780626
14277,24,4,5e-06,1.5000000000000002e-05,kap,84.10135586253304,6.9602777351275655,1.7360005496063888
7421,29,4,5e-06,1.5000000000000002e-05,kap,20.325196817206464,4.544852173933601,0.9840003115280452
12985,35,4,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.5600001772923835
8717,42,4,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.3240001025763076
14079,49,4,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.20400006458508255
3001,17,6,5e-06,1.5000000000000002e-05,kap,1238.9430967021058,15.927139492455346,4.8840015462428585
11145,20,6,5e-06,1.5000000000000002e-05,kap,759.666426161183,15.912952645101981,3.000000949780626
4267,24,6,5e-06,1.5000000000000002e-05,kap,433.34333282898984,15.919265105348975,1.7099605413622931
8277,29,6,5e-06,1.5000000000000002e-05,kap,287.6015349634717,17.096136702575894,0.9840003115280452
12627,35,6,5e-06,1.5000000000000002e-05,kap,110.45651878570222,14.259875257902383,0.543200171973612
9811,42,6,5e-06,1.5000000000000002e-05,kap,89.95592412305412,16.704395751059753,0.32238010206342604
591,49,6,5e-06,1.5000000000000002e-05,kap,58.823510788621064,16.980884894244618,0.20400006458508255
2959,57,6,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.12935004095137465
14593,66,6,5e-06,1.5000000000000002e-05,kap,107.14282322213123,35.714274407377076,0.08400002659385752
395,75,6,5e-06,1.5000000000000002e-05,kap,73.26005006641452,36.63002503320725,0.0546000172860074
4689,17,8,5e-06,1.5000000000000002e-05,kap,547.0923738866346,10.583819731393255,4.8840015462428585
10393,20,8,5e-06,1.5000000000000002e-05,kap,303.5174918480209,10.083693251984863,2.9850009450317234
6477,24,8,5e-06,1.5000000000000002e-05,kap,96.1026025551076,7.459008549489358,1.7273205468583568
10037,29,8,5e-06,1.5000000000000002e-05,kap,23.49143350732405,4.898302493140409,0.9790803099704052
905,35,8,5e-06,1.5000000000000002e-05,kap,3.571427440737708,2.52538056186135,0.5600001772923835
345,42,8,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.31914010103766305
1335,49,8,5e-06,1.5000000000000002e-05,kap,4.90195923238509,4.90195923238509,0.20400006458508255
4751,57,8,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.12870004074558886
12001,66,8,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.08274002619494966
6545,75,8,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.05600001772923835
10735,24,12,5e-06,1.5000000000000002e-05,kap,13.315420835948654,2.776457173531199,1.7273205468583568
13157,29,12,5e-06,1.5000000000000002e-05,kap,2.0427333484629617,1.4444306028540632,0.9790803099704052
3883,35,12,5e-06,1.5000000000000002e-05,kap,3.571427440737708,2.52538056186135,0.5600001772923835
10457,42,12,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.32238010206342604
14955,49,12,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.20400006458508255
5063,57,12,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.12870004074558886
8977,66,12,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.08274002619494966
1889,75,12,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.05516001746329978
1857,24,16,5e-06,1.5000000000000002e-05,kap,0.0,0.0,1.718640544110325
7031,29,16,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.9840003115280452
5749,35,16,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.5600001772923835
10943,42,16,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.3240001025763076
15735,49,16,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.20400006458508255
6273,57,16,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.12870004074558886
4857,66,16,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.08316002632791895
1295,75,16,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.0546000172860074
13071,49,24,5e-06,1.5000000000000002e-05,kap,0.0,0.0,0.20400006458508255
160,15,0,5e-06,2e-05,inert,73.06777015586584,2.650446594828888,10.401302768358649
8890,17,0,5e-06,2e-05,inert,34.16232015182207,2.2575096591025754,6.703291784114571
3748,20,0,5e-06,2e-05,inert,6.654781354167612,1.2576354637597966,4.207501119847425
296,24,0,5e-06,2e-05,inert,1.939517552337912,0.8673786181163156,2.577960686137104
5110,17,1,5e-06,2e-05,inert,24.706518130759893,1.836421030074329,7.3260019498519835
5708,20,1,5e-06,2e-05,inert,9.333330849220076,1.4401642163391946,4.500001197697778
4648,24,1,5e-06,2e-05,inert,0.3859542465958861,0.3859542465958861,2.5909806896024428
10150,29,1,5e-06,2e-05,inert,0.0,0.0,1.4760003928448715
11482,35,1,5e-06,2e-05,inert,0.0,0.0,0.8400002235702521
5286,42,1,5e-06,2e-05,inert,0.0,0.0,0.4860001293513601
1514,17,2,5e-06,2e-05,inert,27.300020033988837,1.9304029292562088,7.3260019498519835
9270,20,2,5e-06,2e-05,inert,5.555554076916715,1.1111108153833429,4.500001197697778
12046,24,2,5e-06,2e-05,inert,0.7837234191079726,0.5541761442259541,2.5519206792064257
3182,29,2,5e-06,2e-05,inert,0.0,0.0,1.4760003928448715
9748,35,2,5e-06,2e-05,inert,0.0,0.0,0.8400002235702521
5086,42,2,5e-06,2e-05,inert,0.0,0.0,0.4835701287046034
7196,17,4,5e-06,2e-05,inert,26.20801923262929,1.8914008698606741,7.3260019498519835
1550,20,4,5e-06,2e-05,inert,4.8888875876867095,1.0423143358768585,4.500001197697778
10128,24,4,5e-06,2e-05,inert,0.3840244753629066,0.3840244753629066,2.604000693067781
144,29,4,5e-06,2e-05,inert,0.0,0.0,1.4760003928448715
12298,35,4,5e-06,2e-05,inert,0.0,0.0,0.8400002235702521
9786,42,4,5e-06,2e-05,inert,0.0,0.0,0.4860001293513601
10448,49,4,5e-06,2e-05,inert,0.0,0.0,0.306000081443449
11260,17,6,5e-06,2e-05,inert,29.8935219372178,2.0200170144983045,7.3260019498519835
2318,20,6,5e-06,2e-05,inert,5.777776239993383,1.1331151458807311,4.500001197697778
8516,24,6,5e-06,2e-05,inert,1.5594902552808392,0.7797451276404195,2.564940682671765
5904,29,6,5e-06,2e-05,inert,0.0,0.0,1.4760003928448715
5016,35,6,5e-06,2e-05,inert,0.0,0.0,0.8148002168631446
15398,42,6,5e-06,2e-05,inert,0.0,0.0,0.4835701287046034
15006,49,6,5e-06,2e-05,inert,0.0,0.0,0.306000081443449
2192,57,6,5e-06,2e-05,inert,0.0,0.0,0.19305005138123474
4324,66,6,5e-06,2e-05,inert,0.0,0.0,0.12411003303250474
15828,75,6,5e-06,2e-05,inert,0.0,0.0,0.07980002123917397
7446,17,8,5e-06,2e-05,inert,30.712522538237447,2.047501502549161,7.3260019498519835
4252,20,8,5e-06,2e-05,inert,4.8888875876867095,1.0423143358768587,4.500001197697778
10316,24,8,5e-06,2e-05,inert,1.5438169863835445,0.7719084931917721,2.5909806896024428
11736,29,8,5e-06,2e-05,inert,0.0,0.0,1.4686203908806472
9462,35,8,5e-06,2e-05,inert,0.0,0.0,0.8400002235702521
2302,42,8,5e-06,2e-05,inert,0.0,0.0,0.4787101274110898
3926,49,8,5e-06,2e-05,inert,0.0,0.0,0.306000081443449
14272,57,8,5e-06,2e-05,inert,0.0,0.0,0.1862250495647265
838,66,8,5e-06,2e-05,inert,0.0,0.0,0.12033003202643865
15626,75,8,5e-06,2e-05,inert,0.0,0.0,0.08106002157452935
7784,24,12,5e-06,2e-05,inert,0.3859542465958861,0.3859542465958861,2.5909806896024428
14004,29,12,5e-06,2e-05,inert,0.0,0.0,1.4686203908806472
7190,35,12,5e-06,2e-05,inert,0.0,0.0,0.8400002235702521
15594,42,12,5e-06,2e-05,inert,0.0,0.0,0.4835701287046034
1376,49,12,5e-06,2e-05,inert,0.0,0.0,0.306000081443449
6240,57,12,5e-06,2e-05,inert,0.0,0.0,0.18037504800771945
11342,66,12,5e-06,2e-05,inert,0.0,0.0,0.11907003169108328
10268,75,12,5e-06,2e-05,inert,0.0,0.0,0.07812002079203348
5014,24,16,5e-06,2e-05,inert,1.5516140418703297,0.7758070209351647,2.577960686137104
4388,29,16,5e-06,2e-05,inert,0.0,0.0,1.4760003928448715
1890,35,16,5e-06,2e-05,inert,0.0,0.0,0.8400002235702521
15098,42,16,5e-06,2e-05,inert,0.0,0.0,0.4860001293513601
12686,49,16,5e-06,2e-05,inert,0.0,0.0,0.306000081443449
4242,57,16,5e-06,2e-05,inert,0.0,0.0,0.1852500493052253
7212,66,16,5e-06,2e-05,inert,0.0,0.0,0.1184400315234056
9070,75,16,5e-06,2e-05,inert,0.0,0.0,0.0747600198977525
3834,49,24,5e-06,2e-05,inert,0.0,0.0,0.306000081443449
161,15,0,5e-06,2e-05,kap,120.17725354583193,3.3991260370653125,10.401302768358649
8891,17,0,5e-06,2e-05,kap,42.66560508044153,2.522870116643984,6.703291784114571
3749,20,0,5e-06,2e-05,kap,13.54723347098407,1.7943749081032987,4.207501119847425
297,24,0,5e-06,2e-05,kap,1.5516140418703297,0.7758070209351647,2.577960686137104
5111,17,1,5e-06,2e-05,kap,127.3545934585578,4.169402207055062,7.3260019498519835
5709,20,1,5e-06,2e-05,kap,51.9999861599405,3.3993454376421948,4.500001197697778
4649,24,1,5e-06,2e-05,kap,6.947176438725947,1.637465189974176,2.5909806896024428
10151,29,1,5e-06,2e-05,kap,0.677506594745941,0.677506594745941,1.4760003928448715
11483,35,1,5e-06,2e-05,kap,0.0,0.0,0.8400002235702521
5287,42,1,5e-06,2e-05,kap,0.0,0.0,0.4860001293513601
1515,17,2,5e-06,2e-05,kap,242.9701783025003,5.758945535130577,7.3260019498519835
9271,20,2,5e-06,2e-05,kap,61.999983498390606,3.7118419206278337,4.500001197697778
12047,24,2,5e-06,2e-05,kap,12.931436415281544,2.2510741393123634,2.5519206792064257
